"Time","Date","b_CFR","U_CFR","Low_U_CFR","Up_U_CFR"
"1",1,NA,0,0,0,0
"2",2,NA,0,0,0,0
"3",3,NA,0,0,0,0
"4",4,NA,0,0,0,0
"5",5,NA,0,0,0,0
"6",6,NA,0,0,0,0
"7",7,NA,0,0,0,0
"8",8,NA,0,0,0,0
"9",9,NA,0,0,0,0
"10",10,NA,0,0,0,0
"11",11,NA,0,0,0,0
"12",12,NA,0,0,0,0
"13",13,NA,0,0,0,0
"14",14,NA,0,0,0,0
"15",15,NA,0.0147058823529412,0.0172252152622807,0.0150771179192991,0.0207815338402356
"16",16,NA,0.0133333333333333,0.0156826300394897,0.0136707466868124,0.0192392691415629
"17",17,NA,0.06,0.0725290010819912,0.0612266438488674,0.0899503975584222
"18",18,NA,0.0725806451612903,0.089306342366468,0.0739579298787924,0.113606943173425
"19",19,NA,0.069620253164557,0.0878435970402429,0.0707128865221163,0.11185600488501
"20",20,NA,0.0542986425339367,0.0700165881128604,0.0556778046046718,0.0939227498016211
"21",21,NA,0.0470219435736677,0.0629718279111144,0.048914954883033,0.087053009910103
"22",22,NA,0.0436781609195402,0.0597790333975288,0.0457604189946618,0.0825793340868615
"23",23,NA,0.0406654343807763,0.0545386715771898,0.0426431773842164,0.0790931001100147
"24",24,NA,0.0369318181818182,0.0520888750149809,0.0377778921870632,0.076469956600467
"25",25,NA,0.0301810865191147,0.04275086583399,0.0316012159442514,0.0606374831062191
"26",26,NA,0.0292083013066872,0.0415952506197443,0.0302124478012486,0.060385274114331
"27",27,NA,0.0251533742331288,0.0346202059689411,0.0264754118670678,0.0484454620633912
"28",28,NA,0.0219880897847,0.0310438383547906,0.0225706654284518,0.0452697446833949
"29",29,NA,0.0209310718152292,0.029385775767836,0.0220445408203484,0.0416976765641876
"30",30,NA,0.020182471661598,0.0278522566367848,0.0213645586737146,0.0406076137957093
"31",31,NA,0.0206342311033884,0.0286545148706641,0.0216264212986928,0.0401430375695138
"32",32,NA,0.0190341355985528,0.0269938998828631,0.0198861812960898,0.0385208439933855
"33",33,NA,0.0183535472791671,0.0262811393192188,0.0194409753838862,0.0394189040847367
"34",34,NA,0.0171967189523672,0.0256572384505162,0.0179515944540372,0.0361356990966074
"35",35,NA,0.0158048181678687,0.0233262760064115,0.0166230129209691,0.0349282179264835
"36",36,NA,0.0153165697436317,0.0221809885586189,0.0159804560668551,0.0322475491682089
"37",37,NA,0.0150413711583924,0.0219139658840375,0.0159349222464322,0.0323060265360525
"38",38,NA,0.015592115684899,0.0223116175826088,0.0163143165166575,0.032129297078908
"39",39,NA,0.0172749918769631,0.0245175170285737,0.018247346222677,0.0338224268541256
"40",40,NA,0.0182860460053697,0.0257990599845302,0.0193139158972727,0.038266668306003
"41",41,NA,0.018685097072205,0.0259834935833014,0.0192920823621033,0.038036746721222
"42",42,NA,0.0200537935884886,0.0275841434642192,0.0207678519864992,0.0385492051027275
"43",43,NA,0.0220694297528609,0.0295745000532828,0.0226576908254504,0.0409910852025654
"44",44,NA,0.0224237825907022,0.0297980303993365,0.0231753484664678,0.0407369604883061
"45",45,NA,0.0238044992191787,0.0315618733671576,0.0244371342853457,0.0420116705178652
"46",46,NA,0.026564709579427,0.0351269537711442,0.0274982293566671,0.0485735674232154
"47",47,NA,0.0287595685375922,0.0370898549499788,0.0295150325065753,0.0481231786123343
"48",48,NA,0.0299823846436014,0.0382401605478592,0.0308948339352109,0.0504967685352177
"49",49,NA,0.0309683762084221,0.0391433640232411,0.0315886709132047,0.0520815358279904
"50",50,NA,0.0324648332016462,0.0407123235021409,0.0335926534843401,0.0528161738877195
"51",51,NA,0.0341339593573472,0.0418851725611015,0.0349073378399914,0.0522149297109235
"52",52,NA,0.0352664324167499,0.0433380905031667,0.0362866848488658,0.0557034148766514
"53",53,NA,0.0378004926108374,0.0459637734118251,0.0385740284671147,0.0582285716176816
"54",54,NA,0.0399420369229365,0.0479609673857105,0.0411257835126302,0.0588960476838381
"55",55,NA,0.0415324904240534,0.0495883842203244,0.0419475438089859,0.0601587971239364
"56",56,NA,0.0431457884927435,0.0512287934079547,0.0439340930984209,0.0633560288468469
"57",57,NA,0.0444711785058147,0.0527763024011026,0.045414192898367,0.0649931563117591
"58",58,NA,0.0453354571949063,0.0532714267924664,0.0458226611913025,0.0643781870343472
"59",59,NA,0.0461788805109614,0.0538049654064773,0.0469685519127746,0.0648408089342268
"60",60,NA,0.0482870053314035,0.0561976190891027,0.0491212207771779,0.0678567852876981
"61",61,NA,0.0500661262370699,0.0578299425703688,0.0509719633453525,0.070342762812034
"62",62,NA,0.0510928760128105,0.059026895928897,0.0515510558347801,0.0705348014214304
"63",63,NA,0.052339253383305,0.0601878692949941,0.0534305381213426,0.071642131910435
"64",64,NA,0.0528214827762215,0.0598884657370952,0.0533369180880664,0.0702054607281346
"65",65,NA,0.0530620358297882,0.0599546185434523,0.0540186030148182,0.0701225634431158
"66",66,NA,0.0536278995255809,0.0608713428258274,0.0541055150746625,0.0716187167000867
