r
0
0
0
0
0
0
0
0
0.08960938
0.074106608
0.063178156
0.055059337
0.048789887
0.04380244
0.039740203
0.036367555
0.044451569
0.040821856
0.037740225
0.035091243
0.032789764
0.038318756
0.035846048
0.033673149
0.037979143
0.041548854
0.044451569
0.046761531
0.04380244
0.05012408
0.083728735
0.0760808
0.099563491
0.089425052
0.1129056
0.114333882
0.113972572
0.110582729
0.122938047
0.108813409
0.13017927
0.15220179
0.165897936
0.154763123
0.169989525
0.185417311
0.2002039
0.218042472
0.255844674
0.230295611
0.243634098
0.213006338
0.199510111
0.194956424
0.267118775
0.245475542
0.225732055
0.209281746
0.198280957
0.193491996
0.184221134
0.173161559
0.171189925
0.161100069
0.152712227
0.146769132
0.136885525
0.128724975
0.12237506
0.116885928
0.1112517
0.1051181
0.09924547
0.09482078
0.09058716
0.08693208
0.08459828
0.08245428
0.0795458
0.07672661
0.07529177
0.07293433
0.07099379
