r
0
0
0
0
0
0
0.200683366
0.14840271
0.117775453
0.178067522
0.156431387
0.137608129
0.116252573
0.107000872
0.103099207
0.102474106
0.126364531
0.138974711
0.154631839
0.185138693
0.220222272
0.239367168
0.234746445
0.240936581
0.264527865
0.265617202
0.256307436
0.264576356
0.258462199
0.260120379
0.255679613
0.271146864
0.295918905
0.324846247
0.32919556
0.300369429
0.307686246
0.296530763
0.278777753
0.264299986
0.255341399
0.242668684
0.227708006
0.212251747
0.197459906
0.187530418
0.178162257
0.170424131
0.163265132
0.156334781
0.145393705
0.137593243
0.1313437
0.1247307
0.1189502
0.113522
0.1077042
0.1020385
0.09678201
0.09210253
0.08829535
0.08467705
0.08162168
0.07841114
0.07517954
0.07239815
0.06964612
