r
0
0
0
0.58192401
0.50509825
0.486814162
0.462245123
0.536307728
0.527974135
0.562143762
0.631461119
0.633151632
0.528853568
0.48586536
0.504345548
0.458455124
0.412048931
0.374383332
0.334762104
0.278390975
0.238755684
0.217891711
0.203731819
0.190963867
0.180017539
0.169319363
0.154351322
0.142210615
0.13767487
0.130764734
0.123513844
0.118371225
0.112866933
0.105522972
0.099049513
0.094695694
0.09397919
0.08986149
0.0851107
0.08040053
0.07535211
